result,table,_time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
_result,0,2024-11-26 00:37:34.753673+00:00,0.05,-1.0,0.2,-10.86,-8.06,0.61,-2.56,-78.75
_result,0,2024-11-26 00:37:35.572929+00:00,0.04,-1.0,0.19,-8.97,-5.25,-0.67,-2.33,-79.26
_result,0,2024-11-26 00:37:36.234039+00:00,0.05,-1.0,0.19,-8.18,-5.55,-0.92,-2.78,-79.28
_result,0,2024-11-26 00:37:37.114795+00:00,-0.12,-0.69,-1.12,77.88,-36.87,38.02,5.18,-148.12
_result,0,2024-11-26 00:37:37.825531+00:00,0.4,0.02,-0.66,4.27,1.53,-17.82,-31.28,177.93
_result,0,2024-11-26 00:37:38.541758+00:00,0.4,0.26,-0.72,-44.8,4.33,9.95,-27.84,159.81
_result,0,2024-11-26 00:37:39.258936+00:00,0.42,0.29,-1.03,-4.46,4.7,-16.05,-21.37,164.37
_result,0,2024-11-26 00:37:39.975150+00:00,0.39,0.25,-0.82,-21.91,-7.2,9.16,-24.56,163.21
_result,0,2024-11-26 00:37:40.692696+00:00,0.37,0.24,-0.83,-11.11,-4.88,-5.13,-23.41,163.8
_result,0,2024-11-26 00:37:41.410075+00:00,0.39,0.16,-0.84,-11.54,-5.62,-0.24,-24.64,169.29
_result,0,2024-11-26 00:37:42.129440+00:00,0.41,0.22,-0.8,-7.45,-7.87,0.85,-26.46,164.5
_result,0,2024-11-26 00:37:42.840713+00:00,0.4,0.28,-0.83,0.85,-4.09,-1.53,-24.51,161.46
_result,0,2024-11-26 00:37:43.558630+00:00,0.43,0.29,-0.75,8.67,-17.27,14.89,-28.25,158.66
_result,0,2024-11-26 00:37:44.276425+00:00,0.46,0.3,-0.74,-10.19,-4.94,-10.44,-29.74,158.04
_result,0,2024-11-26 00:37:44.942917+00:00,0.46,0.27,-0.8,-8.91,-7.2,-3.66,-28.44,161.53
_result,0,2024-11-26 00:37:45.709246+00:00,0.39,0.3,-0.78,-5.19,-5.92,-0.67,-24.94,159.18
_result,0,2024-11-26 00:37:46.371891+00:00,0.45,0.32,-0.78,-2.38,-14.95,-9.34,-28.24,157.37
_result,0,2024-11-26 00:37:47.245315+00:00,0.37,0.23,-0.82,-7.51,-3.36,1.89,-23.16,164.15
_result,0,2024-11-26 00:37:47.961341+00:00,0.38,0.28,-0.79,-9.09,-3.97,-0.61,-24.72,160.67
_result,0,2024-11-26 00:37:48.680674+00:00,0.37,0.27,-0.82,-10.19,-3.6,1.04,-23.23,161.63
_result,0,2024-11-26 00:37:49.499278+00:00,0.36,0.27,-0.81,-8.48,-4.58,0.0,-23.04,161.75
_result,0,2024-11-26 00:37:50.216780+00:00,0.37,0.26,-0.82,-8.67,-6.65,-0.37,-23.49,162.05
_result,0,2024-11-26 00:37:51.032972+00:00,0.37,0.29,-0.81,-11.35,-4.46,-1.53,-23.3,160.51
_result,0,2024-11-26 00:37:51.750743+00:00,0.38,0.27,-0.81,-9.09,-5.13,-1.22,-23.89,161.73
_result,0,2024-11-26 00:37:52.467659+00:00,0.37,0.26,-0.81,-8.85,-4.94,-0.12,-23.63,161.97
_result,0,2024-11-26 00:37:53.185914+00:00,0.37,0.26,-0.82,-9.77,-6.1,-1.22,-23.38,162.27
_result,0,2024-11-26 00:37:53.900415+00:00,0.38,0.27,-0.83,-6.71,-6.77,-0.67,-23.41,162.07
